Q29,Q1,Q6,Q17,Q18,Q20,Q22,Q26,Q27,Q28,Q18_1,Q22_1,Q23,Q24,Q26_1,Q27_1
What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
Jm,Anoka County,Rice Creek Chain of Lakes Park Reserve,5,May,27,2018,2:00-4:00 PM,Yes,NA,0,2,0,0,0,0
Jm,Anoka County,Rice Creek North Regional Trail,6,May,27,2018,12:00-2:00 PM,Yes,NA,1,4,0,0,0,0
Jm,Anoka County,Mississippi West Regional Park,2,June,3,2018,8:00-10:00 AM,Yes,NA,1,1,0,0,0,0
Jm,Anoka County,Coon Creek Regional Trail,8,June,2,2018,12:00-2:00 PM,Yes,NA,0,2,0,0,0,0
Jm,Anoka County,Bunker Hills Regional Park,3,June,2,2018,10:00-12:00 PM,Yes,NA,3,5,0,0,0,0
Mc,Anoka County,Coon Rapids Dam Regional Park,1,June,3,2018,6:00-8:00 PM,Yes,NA,46,63,78,0,0,0
Mc,Anoka County,Mississippi River Regional Trail,5,June,3,2018,4:00-6:00 PM,Yes,NA,10,42,0,0,0,0
Mc,Anoka County,Central Anoka County Regional Trail,1,June,2,2018,4:00-6:00 PM,Yes,NA,8,7,0,0,0,0
Mc,Anoka County,Rum River Regional Trail,4,June,2,2018,2:00-4:00 PM,Yes,NA,0,47,0,0,0,0
Mc,Anoka County,Martin-Island-Linwood Regional Park,2,May,28,2018,8:00-10:00 AM,Yes,NA,9,9,28,0,0,0
Mc,Anoka County,Coon Creek Regional Trail,5,May,26,2018,4:00-6:00 PM,Yes,NA,14,4,0,0,0,0
Mc,Anoka County,Bunker Hills Regional Park,6,May,26,2018,2:00-4:00 PM,Yes,NA,0,18,13,0,0,0
Rwc,Anoka County,Coon Rapids Dam Regional Park,4,May,26,2018,4:00-6:00 PM,Yes,NA,28,61,0,0,0,0
Rwc,Anoka County,Mississippi River Regional Trail,4,May,26,2018,2:00-4:00 PM,Yes,NA,9,27,0,0,0,0
Rwc,Anoka County,Rum River Central Regional Park,1,May,26,2018,10:00-12:00 PM,Yes,NA,2,14,25,0,0,0
Rwc,Anoka County,Lake George Regional Park,5,May,26,2018,8:00-10:00 AM,Yes,NA,3,3,0,0,0,0
Jm,Anoka County,Rice Creek West Regional Trail,1,June,5,2018,6:00-8:00 PM,Yes,NA,6,10,0,0,0,0
Mc,Anoka County,Lake George Regional Park,4,June,6,2018,2:00-4:00 PM,Yes,NA,6,9,0,0,0,0
Mc,Anoka County,Rum River Central Regional Park,1,June,6,2018,12:00-2:00 PM,Yes,NA,0,1,16,0,0,0
Mb,Anoka County,Rice Creek Chain of Lakes Park Reserve,12,June,1,2018,4:00-6:00 PM,Yes,NA,0,0,40,0,0,0
Mb,Anoka County,Rice Creek North Regional Trail,3,June,1,2018,2:00-4:00 PM,Yes,NA,26,15,0,0,0,0
Mb,Anoka County,Rice Creek West Regional Trail,14,June,7,2018,2:00-4:00 PM,Yes,NA,2,1,0,0,0,0
Jm,Anoka County,Bunker Hills Regional Trail,2,June,8,2018,10:00-12:00 PM,Yes,NA,2,3,0,0,0,0
Jm,Anoka County,East Anoka County Regional Trail,8,June,8,2018,8:00-10:00 AM,Yes,NA,5,2,0,0,0,0
Jm,Anoka County,Bunker Hills Regional Park,6,June,9,2018,6:00-8:00 PM,Yes,NA,0,2,0,0,0,0
Jm,Anoka County,Coon Creek Regional Trail,5,June,9,2018,4:00-6:00 PM,Yes,NA,0,0,0,0,0,0
Jm,Anoka County,Coon Rapids Dam Regional Park,5,June,9,2018,8:00-10:00 AM,Yes,NA,0,5,0,0,0,0
Jm,Anoka County,Bunker Hills Regional Trail,3,June,10,2018,10:00-12:00 PM,Yes,NA,5,7,0,0,0,0
Jm,Anoka County,East Anoka County Regional Trail,4,June,10,2018,8:00-10:00 AM,Yes,NA,6,4,0,0,0,0
Jm,Anoka County,Martin-Island-Linwood Regional Park,2,June,7,2018,6:00-8:00 PM,Yes,NA,0,0,14,0,0,0
Mb,Anoka County,Mississippi River Regional Trail,9,June,9,2018,10:00-12:00 PM,Yes,NA,9,5,0,0,0,0
Mb,Anoka County,Central Anoka County Regional Trail,5,June,9,2018,4:00-6:00 PM,Yes,NA,0,0,0,0,0,0
Mb,Anoka County,Rum River Regional Trail,4,June,9,2018,2:00-4:00 PM,Yes,NA,13,4,0,0,0,0
Mb,Anoka County,Bunker Hills Regional Park,1,June,8,2018,2:00-4:00 PM,Yes,NA,2,23,0,0,0,0
Mb,Anoka County,Coon Creek Regional Trail,9,June,8,2018,12:00-2:00 PM,Yes,NA,7,9,0,0,0,0
Mb,Anoka County,Rum River Central Regional Park,1,June,9,2018,12:00-2:00 PM,Yes,NA,0,3,15,0,0,0
Mb,Anoka County,Lake George Regional Park,1,June,9,2018,10:00-12:00 PM,Yes,NA,1,2,67,0,0,0
Mb,Anoka County,Mississippi River Regional Trail,9,June,11,2018,2:00-4:00 PM,Yes,NA,0,0,0,0,0,0
Mb,Anoka County,Coon Rapids Dam Regional Park,3,June,11,2018,12:00-2:00 PM,Yes,NA,2,1,0,0,0,0
Mb,Anoka County,Mississippi West Regional Park,1,June,11,2018,4:00-6:00 PM,Yes,NA,0,0,11,0,0,0
Mc,Anoka County,Rice Creek West Regional Trail,4,June,15,2018,2:00-4:00 PM,Yes,NA,0,15,0,0,0,0
Mc,Anoka County,Martin-Island-Linwood Regional Park,3,June,15,2018,10:00-12:00 PM,Yes,NA,0,0,15,0,0,0
Mc,Anoka County,East Anoka County Regional Trail,6,June,16,2018,12:00-2:00 PM,Yes,NA,8,8,0,0,0,0
Mc,Anoka County,Bunker Hills Regional Trail,2,June,16,2018,10:00-12:00 PM,Yes,NA,0,2,0,0,0,0
Rwc,Anoka County,Lake George Regional Park,4,June,16,2018,12:00-2:00 PM,Yes,NA,0,6,0,0,0,0
Rwc,Anoka County,Rum River Central Regional Park,1,June,16,2018,10:00-12:00 PM,Yes,NA,0,0,13,0,0,0
Rwc,Anoka County,Bunker Hills Regional Trail,1,June,14,2018,4:00-6:00 PM,Yes,NA,50,120,0,0,0,0
Rwc,Anoka County,East Anoka County Regional Trail,4,June,14,2018,2:00-4:00 PM,Yes,NA,28,24,0,0,0,0
RWC,Anoka County,Coon Creek Regional Trail,2,June,20,2018,10:00-12:00 PM,Yes,NA,21,21,0,0,0,0
RWC,Anoka County,Bunker Hills Regional Park,6,June,20,2018,8:00-10:00 AM,Yes,NA,1,25,22,0,0,0
RWC,Anoka County,East Anoka County Regional Trail,3,June,18,2018,10:00-12:00 PM,Yes,NA,3,0,0,0,0,0
RWC,Anoka County,Bunker Hills Regional Trail,3,June,18,2018,8:00-10:00 AM,Yes,NA,0,5,0,0,0,0
MC,Anoka County,Coon Rapids Dam Regional Park,1,June,18,2018,6:00-8:00 PM,Yes,NA,36,43,71,0,0,0
MC,Anoka County,Mississippi River Regional Trail,2,June,18,2018,4:00-6:00 PM,Yes,NA,2,37,0,0,0,0
MC,Anoka County,East Anoka County Regional Trail,5,June,18,2018,2:00-4:00 PM,Yes,NA,11,14,0,0,0,0
MC,Anoka County,Bunker Hills Regional Trail,4,June,18,2018,2:00-4:00 PM,Yes,NA,10,2,0,0,0,0
Mb,Anoka County,Coon Rapids Dam Regional Park,4,June,17,2018,2:00-4:00 PM,Yes,NA,58,37,0,0,0,0
Mb,Anoka County,Mississippi River Regional Trail,5,June,17,2018,12:00-2:00 PM,Yes,NA,5,4,0,0,0,0
Mb,Anoka County,Coon Rapids Dam Regional Park,4,June,14,2018,4:00-6:00 PM,Yes,NA,73,58,0,0,0,0
Mb,Anoka County,Mississippi River Regional Trail,5,June,14,2018,2:00-4:00 PM,Yes,NA,7,4,0,0,0,0
Mb,Anoka County,Rum River Central Regional Park,1,June,13,2018,10:00-12:00 PM,Yes,NA,4,1,13,0,0,0
Mb,Anoka County,Lake George Regional Park,3,June,13,2018,8:00-10:00 AM,Yes,NA,3,6,0,0,0,0
Jm,Anoka County,Rice Creek Chain of Lakes Park Reserve,1,June,25,2018,2:00-4:00 PM,Yes,NA,8,1,4,0,0,0
Jm,Anoka County,Rice Creek North Regional Trail,3,June,25,2018,12:00-2:00 PM,Yes,NA,1,1,0,0,0,0
Mb,Anoka County,Rum River Regional Trail,5,June,18,2018,10:00-12:00 PM,Yes,NA,3,2,0,0,0,0
Mb,Anoka County,Central Anoka County Regional Trail,4,June,18,2018,8:00-10:00 AM,Yes,NA,0,0,0,0,0,0
Mb,Anoka County,Coon Rapids Dam Regional Park,4,June,25,2018,8:00-10:00 AM,Yes,NA,29,49,0,0,0,0
Mb,Anoka County,Rice Creek West Regional Trail,1,June,19,2018,10:00-12:00 PM,Yes,NA,3,5,0,0,0,0
Mb,Anoka County,Rum River Central Regional Park,1,June,18,2018,4:00-6:00 PM,Yes,NA,1,4,12,0,0,0
Mb,Anoka County,Lake George Regional Park,1,June,18,2018,4:00-6:00 PM,Yes,NA,1,9,57,0,0,0
Mc,Anoka County,Rice Creek North Regional Trail,3,June,27,2018,4:00-6:00 PM,Yes,NA,17,16,0,0,0,0
Mc,Anoka County,Rice Creek Chain of Lakes Park Reserve,2,June,27,2018,2:00-4:00 PM,Yes,NA,0,32,19,0,0,0
Rwc,Anoka County,Martin-Island-Linwood Regional Park,2,June,26,2018,12:00-2:00 PM,Yes,NA,0,0,9,0,0,0
Mc,Anoka County,Lake George Regional Park,1,June,24,2018,12:00-2:00 PM,Yes,NA,2,11,134,0,0,0
Mc,Anoka County,Rum River Central Regional Park,1,June,24,2018,10:00-12:00 PM,Yes,NA,8,0,32,0,0,0
Mc,Anoka County,Mississippi West Regional Park,2,June,23,2018,4:00-6:00 PM,Yes,NA,8,1,0,0,0,0
Rwc,Anoka County,Coon Rapids Dam Regional Park,6,June,23,2018,10:00-12:00 PM,Yes,NA,44,17,0,0,0,0
Rwc,Anoka County,Mississippi River Regional Trail,3,June,23,2018,8:00-10:00 AM,Yes,NA,8,17,0,0,0,0
Rwc,Anoka County,Mississippi West Regional Park,1,June,22,2018,8:00-10:00 AM,Yes,NA,0,1,1,0,0,0
Rwc,Anoka County,Rice Creek North Regional Trail,6,June,22,2018,10:00-12:00 PM,Yes,NA,15,21,0,0,0,0
Rwc,Anoka County,Rice Creek Chain of Lakes Park Reserve,10,June,22,2018,8:00-10:00 AM,Yes,NA,8,14,0,0,0,0
Mc,Anoka County,Martin-Island-Linwood Regional Park,4,June,21,2018,4:00-6:00 PM,Yes,NA,0,5,13,0,0,0
Rwc,Anoka County,Central Anoka County Regional Trail,3,June,21,2018,4:00-6:00 PM,Yes,NA,19,24,0,0,0,0
Rwc,Anoka County,Rum River Regional Trail,4,June,21,2018,2:00-4:00 PM,Yes,NA,19,90,0,0,0,0
Rwc,Anoka County,Mississippi West Regional Park,1,June,21,2018,12:00-2:00 PM,Yes,NA,0,6,0,0,0,0
Jm,Anoka County,Coon Rapids Dam Regional Park,6,June,28,2018,4:00-6:00 PM,Yes,NA,1,4,0,0,0,0
Jm,Anoka County,Mississippi River Regional Trail,7,June,28,2018,2:00-4:00 PM,Yes,NA,0,1,0,0,0,0
Jm,Anoka County,Mississippi West Regional Park,1,July,1,2018,12:00-2:00 PM,Yes,NA,0,0,0,0,0,0
Jm,Anoka County,Rum River Regional Trail,3,June,29,2018,4:00-6:00 PM,Yes,NA,1,0,0,0,0,0
Jm,Anoka County,Central Anoka County Regional Trail,2,June,29,2018,2:00-4:00 PM,Yes,NA,2,1,0,0,0,0
Mb,Anoka County,Mississippi West Regional Park,1,June,30,2018,8:00-10:00 AM,Yes,NA,0,0,8,0,0,0
Mb,Anoka County,Mississippi West Regional Park,2,June,28,2018,6:00-8:00 PM,Yes,NA,9,3,0,0,0,0
Mb,Anoka County,Rum River Regional Trail,2,June,27,2018,2:00-4:00 PM,Yes,NA,20,13,0,0,0,0
Mb,Anoka County,Central Anoka County Regional Trail,3,June,27,2018,4:00-6:00 PM,Yes,NA,4,1,0,0,0,0
Mc,Anoka County,Rice Creek Chain of Lakes Park Reserve,11,July,4,2018,2:00-4:00 PM,Yes,NA,0,0,30,0,0,0
Mc,Anoka County,Rice Creek North Regional Trail,3,July,4,2018,12:00-2:00 PM,Yes,NA,10,11,0,0,0,0
Mc,Anoka County,Rum River Regional Trail,4,July,4,2018,8:00-10:00 AM,Yes,NA,25,40,0,0,0,0
Rwc,Anoka County,Central Anoka County Regional Trail,1,July,4,2018,6:00-8:00 PM,Yes,NA,10,5,0,0,0,0
Rwc,Anoka County,Anoka County Riverfront Regional Park,2,July,4,2018,6:00-8:00 PM,Yes,NA,7,31,89,0,0,0
Rwc,Anoka County,Rice Creek West Regional Trail,11,July,4,2018,4:00-6:00 PM,Yes,NA,6,44,0,0,0,0
Rwc,Anoka County,Central Anoka County Regional Trail,3,July,3,2018,6:00-8:00 PM,Yes,NA,45,71,0,0,0,0
Rwc,Anoka County,Rum River Regional Trail,4,July,3,2018,4:00-6:00 PM,Yes,NA,14,88,0,0,0,0
Rwc,Anoka County,Bunker Hills Regional Park,4,July,1,2018,10:00-12:00 PM,Yes,NA,0,0,0,0,0,0
Rwc,Anoka County,Coon Creek Regional Trail,4,July,1,2018,8:00-10:00 AM,Yes,NA,5,28,0,0,0,0
Mc,Anoka County,Rice Creek North Regional Trail,2,June,30,2018,12:00-2:00 PM,Yes,NA,12,1,0,0,0,0
Mc,Anoka County,Rice Creek Chain of Lakes Park Reserve,11,June,30,2018,10:00-12:00 PM,Yes,NA,0,0,13,0,0,0
Rwc,Anoka County,East Anoka County Regional Trail,4,June,30,2018,12:00-2:00 PM,Yes,NA,19,8,0,0,0,0
Rwc,Anoka County,Bunker Hills Regional Trail,1,June,30,2018,10:00-12:00 PM,Yes,NA,49,96,0,0,0,0
Mc,Anoka County,Rice Creek Chain of Lakes Park Reserve,6,June,28,2018,12:00-2:00 PM,Yes,NA,37,7,0,0,0,0
Mc,Anoka County,Rice Creek North Regional Trail,4,June,28,2018,10:00-12:00 PM,Yes,NA,31,39,0,0,0,0
Rwc,Anoka County,Lake George Regional Park,1,June,28,2018,6:00-8:00 PM,Yes,NA,1,9,59,0,0,0
Rwc,Anoka County,Rum River Central Regional Park,1,June,28,2018,4:00-6:00 PM,Yes,NA,8,0,10,0,0,0
Rwc,Anoka County,Martin-Island-Linwood Regional Park,3,July,5,2018,6:00-8:00 PM,Yes,NA,2,3,37,0,0,0
Rwc,Anoka County,Anoka County Riverfront Regional Park,3,July,5,2018,6:00-8:00 PM,Yes,NA,41,2,0,0,0,0
Rwc,Anoka County,Rice Creek West Regional Trail,1,July,5,2018,4:00-6:00 PM,Yes,NA,28,28,0,0,0,0
Mb,Anoka County,Rice Creek West Regional Trail,1,July,8,2018,10:00-12:00 PM,Yes,NA,4,11,0,0,0,0
Mb,Anoka County,Anoka County Riverfront Regional Park,3,July,8,2018,8:00-10:00 AM,Yes,NA,5,0,0,0,0,0
Mb,Anoka County,Anoka County Riverfront Regional Park,1,July,8,2018,12:00-2:00 PM,No,6/7 12:00-2:00,2,0,3,0,0,0
Mb,Anoka County,Coon Creek Regional Trail,5,July,9,2018,2:00-4:00 PM,Yes,NA,7,5,0,0,0,0
Mb,Anoka County,Bunker Hills Regional Park,6,July,9,2018,12:00-2:00 PM,Yes,NA,4,1,18,0,0,0
Rwc,Anoka County,Rice Creek North Regional Trail,4,July,8,2018,2:00-4:00 PM,Yes,NA,66,7,0,0,0,0
Rwc,Anoka County,Rice Creek Chain of Lakes Park Reserve,6,July,8,2018,10:00-12:00 PM,Yes,NA,46,38,0,0,0,0
Rwc,Anoka County,Martin-Island-Linwood Regional Park,4,July,8,2018,8:00-10:00 AM,Yes,NA,0,4,2,0,0,0
Mc,Anoka County,Central Anoka County Regional Trail,1,July,7,2018,6:00-8:00 PM,Yes,NA,2,9,0,0,0,0
Mc,Anoka County,Rum River Regional Trail,1,July,7,2018,4:00-6:00 PM,Yes,NA,4,28,0,0,0,0
Mc,Anoka County,Martin-Island-Linwood Regional Park,3,July,7,2018,2:00-4:00 PM,Yes,NA,0,21,45,0,0,0
Mc,Anoka County,East Anoka County Regional Trail,5,July,8,2018,2:00-4:00 PM,Yes,NA,16,3,0,0,0,0
Mc,Anoka County,Bunker Hills Regional Trail,1,July,8,2018,12:00-2:00 PM,Yes,NA,45,65,0,0,0,0
Mc,Anoka County,East Anoka County Regional Trail,4,July,8,2018,6:00-8:00 PM,Yes,NA,26,26,0,0,0,0
Mc,Anoka County,Bunker Hills Regional Trail,3,July,8,2018,4:00-6:00 PM,Yes,NA,21,5,0,0,0,0
Jm,Anoka County,Coon Creek Regional Trail,5,July,8,2018,12:00-2:00 PM,Yes,NA,1,3,0,0,0,0
