Q29,Q1,Q16,Q17,Q17_1,Q19,Q21,Q26,Q27,Q28,Q21_1,Q22,Q23,Q24,Q26_1,Q27_1
What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
sh,Washington County,Point Douglas Regional Trail,1,June,3,2018,12:00-2:00 PM,Yes,NA,9,12,0,0,0,0
sh,Washington County,St. Croix Bluffs Regional Park,1,June,2,2018,2:00-4:00 PM,Yes,NA,0,0,28,0,0,0
mh,Washington County,Point Douglas Regional Trail,1,May,28,2018,12:00-2:00 PM,Yes,NA,2,15,0,0,0,0
sh,Washington County,Point Douglas Regional Trail,1,May,31,2018,6:00-8:00 PM,Yes,NA,7,6,0,0,0,0
sh,Washington County,Point Douglas Regional Trail,1,May,29,2018,10:00-12:00 PM,Yes,NA,0,4,0,0,0,0
GK,Washington County,St. Croix Bluffs Regional Park,1,May,26,2018,2:00-4:00 PM,Yes,NA,5,1,37,0,0,0
jj,Washington County,Point Douglas Regional Trail,1,May,26,2018,12:00-2:00 PM,Yes,NA,5,2,0,0,0,0
jj,Washington County,Point Douglas Regional Trail,1,May,27,2018,12:00-2:00 PM,Yes,NA,3,8,0,0,0,0
jj,Washington County,Point Douglas Regional Trail,1,May,26,2018,10:00-12:00 PM,Yes,NA,9,4,0,0,0,0
jj,Washington County,Point Douglas Regional Trail,1,June,17,2018,2:00-4:00 PM,Yes,NA,6,7,0,0,0,0
jj,Washington County,Point Douglas Regional Trail,1,June,11,2018,4:00-6:00 PM,Yes,NA,2,0,0,0,0,0
ab,Washington County,St. Croix Bluffs Regional Park,1,June,16,2018,6:00-8:00 PM,Yes,NA,0,0,34,0,0,0
KC,Washington County,St. Croix Bluffs Regional Park,1,June,15,2018,10:00-12:00 PM,Yes,NA,0,0,37,0,0,0
jj,Washington County,Point Douglas Regional Trail,1,June,11,2018,12:00-2:00 PM,Yes,NA,1,2,0,0,0,0
MS,Washington County,Square Lake Special Recreation Feature,1,June,1,2018,10:00-12:00 PM,Yes,NA,1,0,24,0,0,0
MS,Washington County,Big Marine Park Reserve,1,June,9,2018,8:00-10:00 AM,Yes,NA,2,1,14,0,0,0
MS,Washington County,Pine Point Regional Park,1,June,6,2018,8:00-10:00 AM,Yes,NA,15,0,8,0,0,0
mh,Washington County,Point Douglas Regional Trail,1,June,6,2018,8:00-10:00 AM,No,5/30/18 8am,0,1,0,0,0,0
JJ,Washington County,Point Douglas Regional Trail,1,June,6,2018,12:00-2:00 PM,Yes,NA,4,3,0,0,0,0
JJ,Washington County,Point Douglas Regional Trail,1,June,5,2018,4:00-6:00 PM,Yes,NA,2,1,0,0,0,0
JJ,Washington County,Point Douglas Regional Trail,1,June,5,2018,2:00-4:00 PM,Yes,NA,2,4,0,0,0,0
AB,Washington County,St. Croix Bluffs Regional Park,1,June,9,2018,2:00-4:00 PM,Yes,NA,0,0,22,0,0,0
JJ,Washington County,Point Douglas Regional Trail,1,June,9,2018,12:00-2:00 PM,Yes,NA,2,1,0,0,0,0
JJ,Washington County,Point Douglas Regional Trail,1,June,9,2018,8:00-10:00 AM,Yes,NA,1,7,0,0,0,0
lg,Washington County,Big Marine Park Reserve,1,May,26,2018,12:00-2:00 PM,Yes,NA,0,0,54,0,0,0
kh,Washington County,Lake Elmo Park Reserve,1,June,5,2018,2:00-4:00 PM,Yes,NA,4,0,114,0,0,0
kh,Washington County,Lake Elmo Park Reserve,1,June,7,2018,6:00-8:00 PM,Yes,NA,0,2,67,0,0,0
BF,Washington County,Square Lake Special Recreation Feature,1,June,25,2018,2:00-4:00 PM,Yes,NA,0,1,35,0,0,0
MS,Washington County,Big Marine Park Reserve,1,June,28,2018,4:00-6:00 PM,Yes,NA,0,0,19,0,0,0
MS,Washington County,Hardwood Creek Regional Park,8,June,27,2018,10:00-12:00 PM,Yes,NA,10,6,0,0,0,0
KH,Washington County,Lake Elmo Park Reserve,1,June,18,2018,10:00-12:00 PM,Yes,NA,0,0,30,0,0,0
SH,Washington County,Point Douglas Regional Trail,2,June,17,2018,4:00-6:00 PM,Yes,NA,2,0,0,0,0,0
GK,Washington County,St. Croix Bluffs Regional Park,1,June,21,2018,10:00-12:00 PM,Yes,NA,0,0,11,0,0,0
JJ,Washington County,Cottage Grove Ravine Regional Park,1,June,21,2018,2:00-4:00 PM,No,6/14/18 2-4pm,2,0,71,0,0,0
JJ,Washington County,Point Douglas Regional Trail,1,June,18,2018,12:00-2:00 PM,Yes,NA,1,6,0,0,0,0
JJ,Washington County,Point Douglas Regional Trail,1,June,18,2018,8:00-10:00 AM,No,6/25/18 8-10am,0,4,0,0,0,0
sh,Washington County,St. Croix Bluffs Regional Park,1,July,9,2018,8:00-10:00 AM,Yes,NA,0,0,4,0,0,0
IS,Washington County,Square Lake Special Recreation Feature,1,July,8,2018,8:00-10:00 AM,Yes,NA,7,1,32,0,0,0
MS,Washington County,Pine Point Regional Park,2,July,1,2018,10:00-12:00 PM,Yes,NA,1,1,0,0,0,0
KN,Washington County,Square Lake Special Recreation Feature,1,July,4,2018,4:00-6:00 PM,Yes,NA,0,0,18,0,0,0
IS,Washington County,Hardwood Creek Regional Park,2,July,4,2018,8:00-10:00 AM,Yes,NA,30,15,0,0,0,0
IS,Washington County,Pine Point Regional Park,2,July,1,2018,6:00-8:00 PM,Yes,NA,13,3,0,0,0,0
GS,Washington County,Lake Elmo Park Reserve,1,July,8,2018,4:00-6:00 PM,Yes,NA,0,1,255,0,0,0
GS,Washington County,Lake Elmo Park Reserve,1,July,5,2018,10:00-12:00 PM,Yes,NA,2,1,176,2,1,0
JJ,Washington County,Cottage Grove Ravine Regional Park,1,July,8,2018,8:00-10:00 AM,Yes,NA,0,0,31,0,0,0
JJ,Washington County,Point Douglas Regional Trail,2,July,7,2018,6:00-8:00 PM,Yes,NA,12,0,0,0,0,0
JJ,Washington County,Point Douglas Regional Trail,2,July,5,2018,4:00-6:00 PM,Yes,NA,12,0,0,0,0,0
JJ,Washington County,Cottage Grove Ravine Regional Park,2,July,2,2018,2:00-4:00 PM,Yes,NA,2,3,0,0,0,0
JJ,Washington County,Cottage Grove Ravine Regional Park,1,July,2,2018,12:00-2:00 PM,Yes,NA,1,0,22,0,0,0
JJ,Washington County,Cottage Grove Ravine Regional Park,1,July,1,2018,6:00-8:00 PM,No,6/24/18 6-8pm,6,0,46,0,0,0
JJ,Washington County,Point Douglas Regional Trail,1,July,1,2018,4:00-6:00 PM,No,6/24/18 4-6pm,5,7,0,0,0,0
JJ,Washington County,Point Douglas Regional Trail,1,July,1,2018,10:00-12:00 PM,No,6/24/18 10am-12pm,0,5,0,0,0,0
JJ,Washington County,Cottage Grove Ravine Regional Park,1,June,30,2018,10:00-12:00 PM,Yes,NA,1,0,39,0,0,0
JJ,Washington County,Point Douglas Regional Trail,2,June,30,2018,8:00-10:00 AM,No,6/23/18 8-10am,6,3,0,0,0,0
JJ,Washington County,Point Douglas Regional Trail,1,June,29,2018,12:00-2:00 PM,Yes,NA,4,12,0,0,0,0
MC,Washington County,Point Douglas Regional Trail,2,June,18,2018,10:00-12:00 PM,Yes,NA,0,0,0,0,0,0
MC,Washington County,Point Douglas Regional Trail,2,June,25,2018,6:00-8:00 PM,Yes,NA,6,3,0,0,0,0
MC,Washington County,Point Douglas Regional Trail,1,June,14,2018,6:00-8:00 PM,Yes,NA,4,2,0,0,0,0
MC,Washington County,Cottage Grove Ravine Regional Park,1,June,24,2018,12:00-2:00 PM,Yes,NA,1,0,97,0,0,0
GJ,Washington County,St. Croix Bluffs Regional Park,1,July,24,2018,10:00-12:00 PM,Yes,NA,0,0,27,0,0,0
RR,Washington County,Lake Elmo Park Reserve,1,July,15,2018,4:00-6:00 PM,Yes,NA,4,0,210,0,0,0
MH,Washington County,Pine Point Regional Park,2,July,22,2018,8:00-10:00 AM,Yes,NA,30,5,0,0,6,0
MH,Washington County,Pine Point Regional Park,1,July,21,2018,8:00-10:00 AM,Yes,NA,15,3,13,0,0,0
IS,Washington County,Square Lake Special Recreation Feature,1,July,21,2018,10:00-12:00 PM,Yes,NA,17,4,81,0,0,0
GS,Washington County,Lake Elmo Park Reserve,1,July,21,2018,10:00-12:00 PM,Yes,NA,9,3,196,0,6,0
SR,Washington County,St. Croix Bluffs Regional Park,1,July,22,2018,8:00-10:00 AM,Yes,NA,0,0,46,0,0,0
SR,Washington County,St. Croix Bluffs Regional Park,1,July,21,2018,12:00-2:00 PM,Yes,NA,0,0,53,0,0,0
IS,Washington County,Hardwood Creek Regional Park,7,July,15,2018,8:00-10:00 AM,Yes,NA,43,3,0,0,2,0
IS,Washington County,Hardwood Creek Regional Park,13,July,14,2018,8:00-10:00 AM,Yes,NA,37,7,0,0,0,0
IS,Washington County,Pine Point Regional Park,2,July,5,2018,6:00-8:00 PM,Yes,NA,21,1,0,0,0,0
MS,Washington County,Hardwood Creek Regional Park,15,July,7,2018,8:00-10:00 AM,Yes,NA,19,9,0,0,0,0
IS,Washington County,Pine Point Regional Park,2,July,8,2018,4:00-6:00 PM,Yes,NA,20,1,0,0,0,0
GR,Washington County,Lake Elmo Park Reserve,1,July,14,2018,2:00-4:00 PM,Yes,NA,8,1,279,0,0,0
IS,Washington County,Square Lake Special Recreation Feature,1,July,11,2018,2:00-4:00 PM,Yes,NA,3,0,41,0,0,0
IS,Washington County,Square Lake Special Recreation Feature,1,July,11,2018,4:00-6:00 PM,Yes,NA,1,0,51,0,0,0
EJ,Washington County,St. Croix Bluffs Regional Park,1,July,10,2018,12:00-2:00 PM,Yes,NA,0,0,11,0,0,0
RR,Washington County,Lake Elmo Park Reserve,1,July,28,2018,10:00-12:00 PM,Yes,NA,16,1,269,0,4,0
JJ,Washington County,Point Douglas Regional Trail,1,July,29,2018,8:00-10:00 AM,Yes,NA,5,7,0,0,0,0
JJ,Washington County,Cottage Grove Ravine Regional Park,1,July,25,2018,4:00-6:00 PM,Yes,NA,1,0,19,0,0,0
JJ,Washington County,Point Douglas Regional Trail,2,July,21,2018,2:00-4:00 PM,Yes,NA,18,2,0,0,0,0
JJ,Washington County,Cottage Grove Ravine Regional Park,2,July,8,2018,4:00-6:00 PM,Yes,NA,4,4,0,0,0,0
KN,Washington County,Pine Point Regional Park,1,July,28,2018,10:00-12:00 PM,Yes,NA,36,8,0,0,5,0
MS,Washington County,Big Marine Park Reserve,1,July,28,2018,6:00-8:00 PM,Yes,NA,8,7,20,0,0,0
MS,Washington County,Pine Point Regional Park,1,July,25,2018,8:00-10:00 AM,Yes,NA,7,1,15,0,3,0
IS,Washington County,Big Marine Park Reserve,1,July,25,2018,4:00-6:00 PM,Yes,NA,7,9,19,0,0,0
IS,Washington County,Hardwood Creek Regional Park,1,July,22,2018,12:00-2:00 PM,Yes,NA,7,7,0,0,0,0
BF,Washington County,Pine Point Regional Park,1,June,30,2018,4:00-6:00 PM,Yes,NA,12,7,22,0,0,0
IS,Washington County,Hardwood Creek Regional Park,2,June,29,2018,8:00-10:00 AM,Yes,NA,17,13,0,0,2,0
KN,Washington County,Square Lake Special Recreation Feature,1,June,28,2018,6:00-8:00 PM,Yes,NA,6,2,25,0,0,0
IS,Washington County,Hardwood Creek Regional Park,2,June,25,2018,4:00-6:00 PM,Yes,NA,21,4,0,0,0,0
MH,Washington County,Pine Point Regional Park,2,June,24,2018,6:00-8:00 PM,Yes,NA,0,0,0,0,0,0
MS,Washington County,Big Marine Park Reserve,1,June,23,2018,6:00-8:00 PM,Yes,NA,0,0,28,0,0,0
IS,Washington County,Pine Point Regional Park,2,June,23,2018,12:00-2:00 PM,Yes,NA,57,13,0,0,4,0
LG,Washington County,Big Marine Park Reserve,1,June,17,2018,12:00-2:00 PM,Yes,NA,0,0,44,0,0,0
LG,Washington County,Big Marine Park Reserve,1,June,14,2018,10:00-12:00 PM,Yes,NA,0,0,32,0,0,0
IS,Washington County,Pine Point Regional Park,2,June,13,2018,2:00-4:00 PM,Yes,NA,21,12,0,0,6,0
MH,Washington County,Hardwood Creek Regional Park,7,June,13,2018,8:00-10:00 AM,Yes,NA,4,5,0,0,3,0
MS,Washington County,Pine Point Regional Park,1,June,12,2018,8:00-10:00 AM,Yes,NA,12,3,15,0,4,0
MS,Washington County,Big Marine Park Reserve,1,June,11,2018,4:00-6:00 PM,Yes,NA,6,4,25,0,0,0
MH,Washington County,Hardwood Creek Regional Park,1,June,10,2018,4:00-6:00 PM,Yes,NA,7,8,0,0,13,0
IS,Washington County,Pine Point Regional Park,2,June,17,2018,2:00-4:00 PM,Yes,NA,22,2,0,0,0,0
JR,Washington County,Big Marine Park Reserve,1,June,18,2018,2:00-4:00 PM,Yes,NA,0,1,9,0,0,0
jj,Washington County,Point Douglas Regional Trail,2,August,5,2018,10:00-12:00 PM,No,8/12/18 10am-12pm,25,3,0,0,0,0
jj,Washington County,Point Douglas Regional Trail,2,August,4,2018,6:00-8:00 PM,Yes,NA,3,1,0,0,0,0
jj,Washington County,Point Douglas Regional Trail,2,August,1,2018,2:00-4:00 PM,Yes,NA,6,2,0,0,0,0
jj,Washington County,Point Douglas Regional Trail,2,August,11,2018,8:00-10:00 AM,Yes,NA,29,2,0,0,0,0
jj,Washington County,Point Douglas Regional Trail,1,August,11,2018,12:00-2:00 PM,No,8/18/18 12-2pm,13,1,0,0,0,0
jj,Washington County,Point Douglas Regional Trail,2,August,11,2018,4:00-6:00 PM,No,8/18/18 4-6pm,4,3,0,0,0,0
jj,Washington County,Point Douglas Regional Trail,2,August,11,2018,6:00-8:00 PM,Yes,NA,0,0,0,0,0,0
jj,Washington County,Point Douglas Regional Trail,1,August,8,2018,12:00-2:00 PM,No,8/15/18 12-2pm,7,0,0,0,0,0
mh,Washington County,Point Douglas Regional Trail,1,August,12,2018,8:00-10:00 AM,No,8/19/18 8-10am,18,9,0,0,0,0
mh,Washington County,Point Douglas Regional Trail,2,August,12,2018,6:00-8:00 PM,Yes,NA,2,0,0,0,0,0
gs,Washington County,Lake Elmo Park Reserve,1,August,14,2018,12:00-2:00 PM,Yes,NA,0,0,60,0,0,0
gs,Washington County,Lake Elmo Park Reserve,1,August,13,2018,12:00-2:00 PM,Yes,NA,2,0,115,0,0,0
sr,Washington County,St. Croix Bluffs Regional Park,1,August,12,2018,10:00-12:00 PM,Yes,NA,1,0,32,0,0,0
jj,Washington County,Cottage Grove Ravine Regional Park,2,August,1,2018,2:00-4:00 PM,Yes,NA,0,4,0,0,0,0
RR,Washington County,Lake Elmo Park Reserve,1,August,4,2018,6:00-8:00 PM,Yes,NA,2,0,51,0,0,0
jj,Washington County,Cottage Grove Ravine Regional Park,2,August,4,2018,4:00-6:00 PM,Yes,NA,6,5,0,0,0,0
is,Washington County,Big Marine Park Reserve,1,August,5,2018,10:00-12:00 PM,Yes,NA,7,4,94,0,0,0
RR,Washington County,Lake Elmo Park Reserve,1,August,10,2018,8:00-10:00 AM,Yes,NA,4,0,182,0,0,0
jj,Washington County,Cottage Grove Ravine Regional Park,1,August,5,2018,2:00-4:00 PM,Yes,NA,2,0,19,0,0,0
mh,Washington County,Cottage Grove Ravine Regional Park,1,August,18,2018,6:00-8:00 PM,Yes,NA,0,1,10,0,0,0
is,Washington County,Pine Point Regional Park,1,July,29,2018,10:00-12:00 PM,Yes,NA,17,0,13,0,0,0
MS,Washington County,Pine Point Regional Park,1,August,6,2018,2:00-4:00 PM,Yes,NA,17,3,14,0,0,0
KN,Washington County,Pine Point Regional Park,1,August,18,2018,2:00-4:00 PM,Yes,NA,19,11,24,0,0,0
MS,Washington County,Pine Point Regional Park,1,August,27,2018,12:00-2:00 PM,Yes,NA,8,0,11,0,0,0
kn,Washington County,Square Lake Special Recreation Feature,1,August,5,2018,8:00-10:00 AM,Yes,NA,7,2,24,0,0,0
BF,Washington County,Square Lake Special Recreation Feature,1,August,8,2018,10:00-12:00 PM,Yes,NA,1,0,49,0,0,0
IS,Washington County,Square Lake Special Recreation Feature,1,August,9,2018,6:00-8:00 PM,Yes,NA,11,5,43,0,0,0
IS,Washington County,Square Lake Special Recreation Feature,1,August,12,2018,4:00-6:00 PM,Yes,NA,12,2,87,0,0,0
BF,Washington County,Big Marine Park Reserve,1,June,25,2018,2:00-4:00 PM,Yes,NA,1,0,44,0,0,0
MS,Washington County,Big Marine Park Reserve,1,August,11,2018,2:00-4:00 PM,Yes,NA,11,7,39,0,0,0
IS,Washington County,Big Marine Park Reserve,1,August,13,2018,12:00-2:00 PM,Yes,NA,0,3,29,0,0,0
MS,Washington County,Big Marine Park Reserve,1,August,18,2018,4:00-6:00 PM,Yes,NA,6,0,36,0,0,0
IS,Washington County,Big Marine Park Reserve,1,August,20,2018,2:00-4:00 PM,Yes,NA,2,1,24,0,0,0
LG,Washington County,Big Marine Park Reserve,1,August,26,2018,12:00-2:00 PM,Yes,NA,11,0,47,0,0,0
SH,Washington County,Point Douglas Regional Trail,1,June,23,2018,6:00-8:00 PM,Yes,NA,6,2,0,0,0,0
MH,Washington County,Point Douglas Regional Trail,1,August,21,2018,2:00-4:00 PM,No,8/28/18 2-4pm,8,2,0,0,0,0
MH,Washington County,Point Douglas Regional Trail,2,August,19,2018,10:00-12:00 PM,No,8/26/18 10am-12pm,34,5,0,0,0,0
MH,Washington County,Point Douglas Regional Trail,2,August,19,2018,8:00-10:00 AM,No,8/26/18 8-10am,10,1,0,0,0,0
MH,Washington County,Point Douglas Regional Trail,1,August,20,2018,8:00-10:00 AM,No,8/27/18 8-10am,3,3,0,0,0,0
MH,Washington County,Point Douglas Regional Trail,1,August,18,2018,2:00-4:00 PM,No,8/25/18 2-4pm,11,8,0,0,0,0
BF,Washington County,Hardwood Creek Regional Park,12,August,16,2018,2:00-4:00 PM,Yes,NA,14,1,0,0,0,0
IS,Washington County,Hardwood Creek Regional Park,15,July,8,2018,10:00-12:00 PM,Yes,NA,26,13,0,0,0,0
KN,Washington County,Hardwood Creek Regional Park,5,August,5,2018,2:00-4:00 PM,Yes,NA,6,21,0,0,0,0
MS,Washington County,Hardwood Creek Regional Park,1,August,8,2018,6:00-8:00 PM,Yes,NA,7,0,0,0,2,0
KN,Washington County,Hardwood Creek Regional Park,15,August,9,2018,8:00-10:00 AM,Yes,NA,14,6,0,0,0,0
IS,Washington County,Hardwood Creek Regional Park,2,August,11,2018,10:00-12:00 PM,Yes,NA,19,12,0,0,0,0
MS,Washington County,Hardwood Creek Regional Park,2,August,15,2018,2:00-4:00 PM,Yes,NA,12,15,0,0,0,0
MS,Washington County,Hardwood Creek Regional Park,5,August,20,2018,8:00-10:00 AM,Yes,NA,15,11,0,0,0,0
KN,Washington County,Hardwood Creek Regional Park,16,August,26,2018,2:00-4:00 PM,Yes,NA,8,11,0,0,4,0
sr,Washington County,St. Croix Bluffs Regional Park,1,August,29,2018,2:00-4:00 PM,Yes,NA,0,0,6,0,0,0
sh,Washington County,Hardwood Creek Regional Park,1,September,3,2018,10:00-12:00 PM,Yes,NA,3,2,0,0,0,0
sh,Washington County,Point Douglas Regional Trail,2,September,3,2018,12:00-2:00 PM,Yes,NA,9,0,0,0,0,0
ljm,Washington County,Cottage Grove Ravine Regional Park,1,September,1,2018,2:00-4:00 PM,Yes,NA,1,0,18,0,0,0
mc,Washington County,Point Douglas Regional Trail,1,July,30,2018,8:00-10:00 AM,Yes,NA,5,8,0,0,0,0
mc,Washington County,Point Douglas Regional Trail,2,August,27,2018,6:00-8:00 PM,Yes,NA,0,0,0,0,0,0
mc,Washington County,Cottage Grove Ravine Regional Park,1,July,16,2018,10:00-12:00 PM,Yes,NA,0,0,13,0,0,0
mc,Washington County,Cottage Grove Ravine Regional Park,1,July,23,2018,12:00-2:00 PM,Yes,NA,1,0,17,0,0,0
sh,Washington County,Point Douglas Regional Trail,1,June,12,2018,6:00-8:00 PM,Yes,NA,2,2,0,0,0,0
sh,Washington County,Point Douglas Regional Trail,2,July,14,2018,6:00-8:00 PM,Yes,NA,7,3,0,0,0,0
sh,Washington County,Point Douglas Regional Trail,1,September,1,2018,8:00-10:00 AM,Yes,NA,9,2,0,0,0,0
sh,Washington County,Point Douglas Regional Trail,1,August,25,2018,2:00-4:00 PM,Yes,NA,8,3,0,0,0,0
sh,Washington County,St. Croix Bluffs Regional Park,1,August,14,2018,6:00-8:00 PM,Yes,NA,0,0,11,0,0,0
ms,Washington County,Square Lake Special Recreation Feature,1,August,2,2018,12:00-2:00 PM,Yes,NA,0,0,15,0,0,0
bf,Washington County,Square Lake Special Recreation Feature,1,June,30,2018,10:00-12:00 PM,Yes,NA,1,0,42,0,0,0
kn,Washington County,Pine Point Regional Park,1,August,23,2018,10:00-12:00 PM,Yes,NA,2,0,2,0,0,0
sh,Washington County,Pine Point Regional Park,2,August,29,2018,10:00-12:00 PM,Yes,NA,7,3,0,0,0,0
rr,Washington County,Lake Elmo Park Reserve,1,July,4,2018,8:00-10:00 AM,Yes,NA,1,0,72,0,0,0
sh,Washington County,Big Marine Park Reserve,1,June,3,2018,2:00-4:00 PM,Yes,NA,2,0,26,0,0,0
ms,Washington County,Big Marine Park Reserve,1,June,9,2018,8:00-10:00 AM,Yes,NA,2,1,14,0,0,0
kg,Washington County,Big Marine Park Reserve,1,August,27,2018,12:00-2:00 PM,Yes,NA,2,0,20,0,0,0
is,Washington County,Big Marine Park Reserve,1,August,23,2018,6:00-8:00 PM,Yes,NA,2,1,17,0,0,0
